[DEBUG] - [2018/04/04 15:46:12.876]【IMCORE-本机QoS】【QoS发送方】=========== 消息发送质量保证线程已成功启动 | (QoS4SendDaemonRoot^startup:292)
[INFO] - [2018/04/04 15:46:12.889][IMCORE] 配置项：未开启与MobileIMSDK Web的互通. | (ServerLauncher^startup:223)
[INFO] - [2018/04/04 15:46:12.927][IMCORE] 基于MobileIMSDK的UDP服务正在端口7901上监听中... | (ServerLauncher^startup:232)
[INFO] - [2018/04/04 15:46:13.950][IMCORE]与{uid:null}/192.168.0.117:55637的会话建立(sessionCreated)了... | (ServerCoreHandler^sessionCreated:374)
[INFO] - [2018/04/04 15:46:13.956][IMCORE]与{uid:null}/192.168.0.117:55637的会话(sessionOpened)打开了... | (ServerCoreHandler^sessionOpened:387)
[INFO] - [2018/04/04 15:46:14.048][IMCORE]>> 客户端{uid:null}/192.168.0.117:55637发过来的登陆信息内容是：loginInfo=000000|getToken=000000 | (LogicProcessor^processLogin:206)
[DEBUG] - [2018/04/04 15:46:14.051]【DEBUG_回调通知】正在调用回调方法：OnVerifyUserCallBack...(extra=null) | (ServerEventListenerImpl^onVerifyUserCallBack:55)
[DEBUG] - [2018/04/04 15:46:14.125]【@】当前在线用户共(1)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2018/04/04 15:46:14.127]【IM_回调通知OnUserLoginAction_CallBack】用户：000000 上线了！ | (ServerEventListenerImpl^onUserLoginAction_CallBack:73)
[INFO] - [2018/04/04 15:46:14.129][IMCORE]<< 收到客户端{uid:000000}/192.168.0.117:55637的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:189)
[DEBUG] - [2018/04/04 15:46:14.130][IMCORE-本机QoS！]【QoS机制_S2C】收到接收者000000回过来的指纹为146d4125-93f4-4b3a-a351-b2824e13edda的应答包. | (LogicProcessor^processACK:146)
[DEBUG] - [2018/04/04 15:46:14.131]【DEBUG_QoS_S2C事件】收到对方已收到消息事件的通知，fp=146d4125-93f4-4b3a-a351-b2824e13edda | (MessageQoSEventS2CListnerImpl^messagesBeReceived:49)
[WARN] - [2018/04/04 15:46:14.132]【IMCORE-本机QoS】【QoS发送方】指纹为146d4125-93f4-4b3a-a351-b2824e13edda的消息已成功从发送质量保证队列中移除(可能是收到接收方的应答也可能是达到了重传的次数上限)，重试次数=0 | (QoS4SendDaemonRoot^remove:393)
[DEBUG] - [2018/04/04 15:56:48.506]【IMCORE-本机QoS】【QoS发送方】=========== 消息发送质量保证线程已成功启动 | (QoS4SendDaemonRoot^startup:292)
[INFO] - [2018/04/04 15:56:48.508][IMCORE] 配置项：未开启与MobileIMSDK Web的互通. | (ServerLauncher^startup:223)
[INFO] - [2018/04/04 15:56:48.523][IMCORE] 基于MobileIMSDK的UDP服务正在端口7901上监听中... | (ServerLauncher^startup:232)
[INFO] - [2018/04/04 15:56:49.773][IMCORE]与{uid:null}/192.168.0.117:55637的会话建立(sessionCreated)了... | (ServerCoreHandler^sessionCreated:374)
[INFO] - [2018/04/04 15:56:49.782][IMCORE]与{uid:null}/192.168.0.117:55637的会话(sessionOpened)打开了... | (ServerCoreHandler^sessionOpened:387)
[INFO] - [2018/04/04 15:56:49.848][IMCORE]>> 客户端{uid:null}/192.168.0.117:55637发过来的登陆信息内容是：loginInfo=000000|getToken=000000 | (LogicProcessor^processLogin:206)
[DEBUG] - [2018/04/04 15:56:49.850]【DEBUG_回调通知】正在调用回调方法：OnVerifyUserCallBack...(extra=null) | (ServerEventListenerImpl^onVerifyUserCallBack:55)
[DEBUG] - [2018/04/04 15:56:49.876]【@】当前在线用户共(1)人-------------------> | (OnlineProcessor^__printOnline:98)
